season,week,manager,pts,R,RBI,SB,BB,HBP,1B,2B,3B,HR,TB
2022,9,Sam,246.5,44,42,0,29,3,0,0,0,0,117
2022,9,Howard,274,42,49,5,26,3,0,0,0,0,134
2022,9,Rich,229.5,41,33,7,28,2,0,0,0,0,102
2022,9,Rouse,265.5,47,38,7,24,7,0,0,0,0,131
2022,9,Dave,186.5,35,23,3,28,2,0,0,0,0,98
2022,10,Boyce,200,34,33,0,27,4,0,0,0,0,99
2022,10,Ulmer,271,44,45,5,26,9,0,0,0,0,128
2022,10,Garth,187.5,29,32,3,32,4,0,0,0,0,83
2022,10,Chris,230.5,39,37,5,21,1,0,0,0,0,114
2022,10,Andy,243,48,28,5,27,5,0,0,0,0,130
2022,10,Sam,294,51,47,2,36,7,0,0,0,0,145
2022,10,Howard,268,42,45,6,26,2,0,0,0,0,135
2022,10,Rich,192.5,32,30,3,25,3,0,0,0,0,97
2022,10,Rouse,179,31,21,7,29,7,0,0,0,0,85
2022,10,Dave,264.5,42,44,4,30,1,0,0,0,0,138
2022,11,Boyce,249,37,43,2,32,0,0,0,0,0,137
2022,11,Ulmer,222,37,28,8,40,5,0,0,0,0,105
2022,11,Garth,210.5,33,39,2,17,2,0,0,0,0,106
2022,11,Chris,211,41,27,6,15,1,0,0,0,0,108
2022,11,Andy,179,32,26,3,17,7,0,0,0,0,89
2022,11,Sam,218,39,30,4,20,6,0,0,0,0,118
2022,11,Howard,285,46,44,8,27,2,0,0,0,0,146
2022,11,Rich,173.5,22,34,2,24,3,0,0,0,0,88
2022,11,Rouse,285,41,52,4,32,3,0,0,0,0,146
2022,11,Dave,210,38,29,1,25,4,0,0,0,0,114
2022,12,Boyce,218,35,31,6,31,1,0,0,0,0,115
2022,12,Ulmer,287,46,48,5,30,5,0,0,0,0,143
2022,12,Garth,154.5,24,26,2,21,4,0,0,0,0,76
2022,12,Chris,242,38,41,7,28,0,0,0,0,0,112
2022,12,Andy,167.5,28,24,1,23,5,0,0,0,0,95
2022,12,Sam,210.5,35,36,1,17,6,0,0,0,0,110
2022,12,Howard,251.5,45,36,7,27,2,0,0,0,0,121
2022,12,Rich,185,32,29,3,19,2,0,0,0,0,93
2022,12,Rouse,270,51,34,10,23,4,0,0,0,0,133
2022,12,Dave,205,31,33,3,16,2,0,0,0,0,124
